# Provides a listing of the current external libraries
# (path = ./third_party, where . is your checkout directory)
# versions listed here MAY be newer than those used in your Tiki Release
#
# More info on https://dev.tiki.org/External+Libraries
#
# when editing this page, please use SPACES instead of TABS to preserve formatting

Package          | @version     | Released   | uploaded       | @revision   
-----------------+--------------+------------+----------------+-------------
adodb            | 5.17         | 17/05/2012 | 21/06/2012     | 42014       
ckeditor         |              |            | 30/11/2012     | 44129       
codemirror       |              |            | 06/06/2012     | 41788       
ezcomponents     | 1.8          |            | 09/05/2010     | 27007       
fckeditor        | 2.6.6        |            | 27/06/2010     | 27778       
fullcalendar     |              |            | 17/08/2011     | 42642       
html5shim        | 1.6.2        |            | 10/05/2011     | 34346       
htmlpurifier     |              |            | 21/02/2012     | 39889       
jquery           |              |            | 22/10/2012     | 43556       
jscalendar       |              |            | 27/02/2012     | 39963       
mobileESP        |              |            | 30/09/2011     | 37809       
pclzip           | 2.8          |            | 11/08/2009     | 20759       
phpcas           |              |            | 09/07/2012     | 42266       
phplayers        | 1.5.2.1      |            | 24/09/2010     | 29564       
phpseclib        |              |            | 07/03/2012     | 40055       
rangy            | 1.2.2        |            | 07/03/2012     | 40052       
simile_timeline  |              |            | 16/09/2011     | 37297       
slideshow        |              |            | 22/01/2010     | 24598       
smarty           | 2.6.27       | 2012-09-24 | 26/09/2012     | 43136       
smarty3          | 3.0.9        | 2011-07-26 | 19/09/2011     | 37405       
smarty31         | 3.1-DEV      | 2012-09-11 | 26/09/2012     | 43135       
textwiki         |              |            | 23/12/2011     | 39263       
vfsStream        |              |            | 19/01/2012     | 39564       
xajax            | 0.5          | 2009-01-26 | 07/02/2009     | 16597       
